w1EstScaled,w1True,w1Est
0.7092695317721223,0.9,0.891839
0.7103957760671132,0.9,0.897307
0.7085448034787326,0.9,0.888327
0.7094583804953115,0.9,0.892755
0.7049936678553708,0.9,0.871192
0.704631865930269,0.9,0.869453
0.70877542035935015,0.9,0.889444
0.7080944091337978,0.9,0.886147
0.7076663626993612,0.9,0.884077
0.7075848474061595,0.9,0.883683
0.7058716115076145,0.9,0.875417
0.7035759916185451,0.9,0.864385
0.7026533417897921,0.9,0.859965
0.7039960611450395,0.9,0.8664
0.7046087634418011,0.9,0.869342
0.7091581678080239,0.9,0.891299
0.6982709966205674,0.9,0.839078
0.710814675770495,0.9,0.899344
0.7106111317053891,0.9,0.898354
0.7049256546229129,0.9,0.870865
0.7045914879223535,0.9,0.869259
0.7077077359172188,0.9,0.884277
0.6992466399873936,0.9,0.843713
0.6979247225071183,0.9,0.837435
0.6968049074001277,0.9,0.832129
0.6957822448573734,0.9,0.827293
0.7096341755660737,0.9,0.893608
0.7106129824884417,0.9,0.898363
0.6999357653898235,0.9,0.846992
0.7100776084669937,0.9,0.895761
0.7101062231997554,0.9,0.8959
0.7104560523007976,0.9,0.8976
0.7085026738373033,0.9,0.888123
0.7092693255658161,0.9,0.891838
0.7080270214331901,0.9,0.885821
0.7100150207812814,0.9,0.895457
0.6996015082615322,0.9,0.845401
0.7070403810327208,0.9,0.881053
0.7048509751637617,0.9,0.870506
0.7078142561311188,0.9,0.884792
0.7060928825203424,0.9,0.876483
0.7060825061272308,0.9,0.876433
0.7057808747694723,0.9,0.87498
0.7065693433440211,0.9,0.87878
0.7109418990542863,0.9,0.899963
0.7103904269637996,0.9,0.897281
0.7105167324668223,0.9,0.897895
0.7085336518636454,0.9,0.888273
0.7074875909095016,0.9,0.883213
0.7094544640631755,0.9,0.892736
0.7056005987072668,0.9,0.874112
0.708396094629429,0.9,0.887607
0.70689598760797,0.9,0.880356
0.7069198143568187,0.9,0.880471
0.6957037098388924,0.9,0.826922
0.7100747263149392,0.9,0.895747
0.7102947504266073,0.9,0.896816
0.7093786028081893,0.9,0.892368
0.7013062779598751,0.9,0.853526
0.7087589070576449,0.9,0.889364
0.7092536536340173,0.9,0.891762
0.7023394310011334,0.9,0.858463
0.7030839786932057,0.9,0.862027
0.7068806550135073,0.9,0.880282
0.7058738952881178,0.9,0.875428
0.7057619778805473,0.9,0.874889
0.7023296051462227,0.9,0.858416
0.7055461709365194,0.9,0.87385
0.7032745383947205,0.9,0.86294
0.7086936741237969,0.9,0.889048
0.7086767451841721,0.9,0.888966
0.7044786622749352,0.9,0.868717
0.7092124093263621,0.9,0.891562
0.6973480130450149,0.9,0.834701
0.7066734117615766,0.9,0.879282
0.7026188669193013,0.9,0.8598
0.7012453169365068,0.9,0.853235
0.7080811803677403,0.9,0.886083
0.7065276684634176,0.9,0.878579
0.7068731957437486,0.9,0.880246
0.7035417871588915,0.9,0.864221
0.7056913678585398,0.9,0.874549
0.7048886282976684,0.9,0.870687
0.7084799553864215,0.9,0.888013
0.704424530393413,0.9,0.868457
0.7050327661365284,0.9,0.87138
0.7063808458048197,0.9,0.877871
0.7097779798697996,0.9,0.894306
0.7009986766648721,0.9,0.852058
0.7018340982627215,0.9,0.856047
0.7081888605495226,0.9,0.886604
0.7081185920608631,0.9,0.886264
0.7065015421469885,0.9,0.878453
0.7017863841039442,0.9,0.855819
0.7103340520864128,0.9,0.897007
0.7007307396728056,0.9,0.85078
0.7043462371865595,0.9,0.868081
0.7087527144273006,0.9,0.889334
0.7107754127697222,0.9,0.899153
0.7106604835188707,0.9,0.898594
0.7105934460912648,0.9,0.898268
0.7103817859809796,0.9,0.897239
0.7084382333356679,0.9,0.887811
0.7014522620912326,0.9,0.854223
0.702944510170483,0.9,0.861359
0.7076131930687537,0.9,0.88382
0.7008265670572722,0.9,0.851237
0.7022532916145207,0.9,0.858051
0.7083903106057822,0.9,0.887579
0.7096574590613992,0.9,0.893721
0.708552444255177,0.9,0.888364
0.7012924523745485,0.9,0.85346
0.7032476180382379,0.9,0.862811
0.703208382742868,0.9,0.862623
0.7039368762041661,0.9,0.866116
0.7085452164966901,0.9,0.888329
0.7087167956417801,0.9,0.88916
0.7097969308783627,0.9,0.894398
0.709550510720336,0.9,0.893202
0.7075573278117775,0.9,0.88355
0.7107994643024351,0.9,0.89927
0.7096236667245881,0.9,0.893557
0.7088045237107402,0.9,0.889585
0.7093480900938145,0.9,0.89222
0.7059409507769022,0.9,0.875751
0.7061626063346952,0.9,0.876819
0.7098712859206039,0.9,0.894759
0.7018324241560441,0.9,0.856039
0.7076256067198395,0.9,0.88388
0.7063677789973009,0.9,0.877808
0.7058649677237,0.9,0.875385
0.7091138214489027,0.9,0.891084
0.7093668515137067,0.9,0.892311
0.7092192148749128,0.9,0.891595
0.7084607471559512,0.9,0.88792
0.6983693790910518,0.9,0.839545
0.7090967006247525,0.9,0.891001
0.704113160428173,0.9,0.866962
0.7048674097479485,0.9,0.870585
0.7074935923914784,0.9,0.883242
0.7069875590026936,0.9,0.880798
0.7047635924941184,0.9,0.870086
0.707718078684625,0.9,0.884327
0.7036969402873214,0.9,0.864965
0.7080507942116558,0.9,0.885936
0.6998175076180875,0.9,0.846429
0.69924895329086445,0.9,0.843724
0.6903294591972755,0.9,0.80166
0.7062043114992772,0.9,0.87702
0.7039712626558348,0.9,0.866281
0.7036460619150241,0.9,0.864721
